,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,20,ZA,1546639200,82,-33.93,18.42,19.0,7.2
1,Sorland,40,NO,1546636800,100,67.67,12.69,0.0,0.5
2,Kodiak,1,US,1546638900,52,39.95,-94.76,11.7,1.5
3,Lebu,0,ET,1546641026,76,8.96,38.73,1.38,1.51
4,Djenne,8,ML,1546642876,47,13.91,-4.55,16.41,4.06
5,Takoradi,12,GH,1546642876,100,4.89,-1.75,27.48,2.66
6,Luderitz,0,NA,1546641107,68,-26.65,15.16,17.78,10.06
7,Ribeira Grande,40,PT,1546637400,77,38.52,-28.7,16.0,3.1
8,Nicolas Bravo,40,MX,1546638180,13,24.39,-104.74,22.0,1.0
9,Hermanus,44,ZA,1546640982,97,-34.42,19.24,14.82,1.06
10,Marivan,32,IR,1546642877,71,35.52,46.18,-7.25,0.91
11,Bluff,20,AU,1546640998,82,-23.58,149.07,22.97,3.76
12,Dunedin,0,NZ,1546642877,51,-45.87,170.5,25.28,7.46
13,Busselton,0,AU,1546640987,100,-33.64,115.35,14.52,3.91
14,Mount Pleasant,1,US,1546641300,54,33.16,-94.97,12.6,3.1
15,Ushuaia,40,AR,1546639200,76,-54.81,-68.31,8.0,6.2
16,Ventspils,90,LV,1546640400,93,57.39,21.56,4.0,5.1
17,Saint-Philippe,90,CA,1546639200,89,45.36,-73.48,2.0,4.6
18,Laguna,5,MX,1546638360,28,27.52,-110.01,28.0,2.1
19,Gao,12,ML,1546642879,47,16.28,-0.04,15.01,4.86
20,Touros,92,BR,1546641049,89,-5.2,-35.46,26.41,5.61
21,Tuatapere,24,NZ,1546641026,68,-46.13,167.69,20.78,9.86
22,Salalah,0,OM,1546638600,78,17.01,54.1,22.0,2.1
23,Vaini,0,IN,1546641023,76,15.34,74.49,14.18,2.11
24,Barrow,0,AR,1546640994,46,-38.31,-60.23,28.47,4.46
25,Port Lincoln,56,AU,1546641115,81,-34.72,135.86,19.31,7.06
26,Bambous Virieux,40,MU,1546639200,83,-20.34,57.76,27.0,1.5
27,Batagay-Alyta,44,RU,1546642881,0,67.8,130.41,-38.02,1.86
